ST_CASE,LATITUDE,LONGITUD
10190,34.23339722,-87.35983056
10191,32.30206389,-86.20641944
10192,33.61437778,-85.79505833
10193,31.01538889,-87.66123333
10194,30.68218056,-88.06702222
10195,34.23763611,-86.94045833
10196,30.70258889,-88.11945556
10197,30.63997778,-88.19743056
10198,33.05518889,-87.57994444
10199,34.95345,-87.46639444
10200,34.88744444,-87.843025
10201,31.64813333,-87.81568333
10202,32.84525556,-87.73315556
10203,34.30816667,-86.09114167
10204,32.74203056,-88.09298056
10205,33.25565833,-87.37888056
10206,33.05521944,-87.71248611
10207,30.56998056,-88.18816389
10208,33.54269722,-86.74965833
10209,32.28925556,-85.46988611
10210,34.2695,-87.21106111
10211,33.17536389,-87.52210833
10212,33.924275,-87.24282778
10213,33.21356389,-87.48693333
10214,32.1923,-86.11734167
10215,33.51481944,-88.194725
10217,34.32513889,-86.06371389
10218,32.59136111,-86.43779167
10219,31.17295278,-86.85440556
10220,33.71103056,-86.85287222
10221,33.52091389,-86.84924722
10222,34.21278889,-86.15603611
10223,30.78888611,-88.20849167
10224,32.36548333,-86.2835
10225,33.97066667,-86.39793611
10226,34.2383,-86.28931667
10227,31.9959,-86.52477778
10228,30.467675,-88.38431389
10229,31.09799444,-87.51480278
10230,34.71798611,-87.790125
10231,31.01310833,-88.02425278
10232,31.414825,-86.79200556
10233,31.71151111,-85.68725833
10234,34.67882778,-86.73914167
10235,33.45606389,-86.94409167
10236,31.51096667,-87.39409722
10237,31.200225,-85.43513333
10238,30.71783056,-88.13570833
10239,33.24051389,-87.66241389
10240,34.21295833,-86.51796111
10241,33.17344722,-87.47534444
10242,34.759875,-86.95723889
10243,32.54864167,-85.16531389
10244,33.90036944,-86.736225
10245,33.09184444,-85.24541389
10246,34.21815556,-85.60258611
10247,33.29,-86.84011944
10248,34.28836389,-86.23980556
10249,33.53256667,-85.93977222
10250,33.42205278,-87.00053333
10251,32.67515556,-87.22371944
10252,34.77585278,-87.01608056
10253,33.17735,-87.38298056
10254,30.658575,-87.88961944
10255,31.09769722,-86.03608333
10256,31.83407778,-87.74944167
10257,30.61974167,-88.07795278
10258,33.98928889,-87.336475
10259,34.44099444,-86.97230556
10260,33.28020556,-86.89651667
10261,34.00498333,-86.07986944
10262,30.63161389,-88.10510556
10263,31.09615278,-85.59116667
10264,31.75370833,-85.87965556
10265,33.93741389,-87.22449167
10266,34.33632222,-87.19812778
10267,34.05202222,-86.16516944
10268,34.71796944,-86.034125
10269,30.6885,-88.064125
10270,30.26020556,-87.68253333
