ST_CASE,MONTH,DAY,DAY_WEEK,HOUR,LATITUDE,LONGITUD,HARM_EV,LGT_COND,WEATHER,VE_FORMS,TRAV_SP,DEATHS,DR_DRINK,VSPD_LIM
122555,10,1,1,22,28.69390278,-81.54669444,33,2,1,1,45,1,1,35
122556,10,26,5,19,26.65581944,-81.91542222,12,3,1,2,15,0,1,35
122557,10,27,6,19,26.96616944,-82.05526667,9,2,1,1,45,0,0,45
122558,10,27,6,6,25.80946111,-80.22807222,8,3,1,1,35,0,0,35
122559,10,29,1,18,28.07384722,-82.44053889,12,1,1,2,10,0,0,25
122560,10,24,3,23,27.63341667,-82.46915556,12,2,1,3,60,0,0,70
122561,10,26,5,13,26.10291111,-80.26546111,30,1,10,1,65,1,0,65
122562,10,27,6,14,29.1715,-82.12378056,12,1,1,2,60,1,0,35
122563,10,29,1,7,29.55171944,-81.21712778,30,1,1,1,70,1,0,70
122564,10,29,1,8,28.22995278,-80.68351944,9,1,1,1,20,0,0,30
122565,10,30,2,5,26.80688889,-80.653375,12,2,1,2,100,1,1,45
122566,10,31,3,5,25.84748333,-80.19598056,8,3,1,1,998,0,0,35
122567,10,31,3,5,30.24730833,-81.56050278,42,4,5,1,35,1,0,40
122568,10,15,1,11,29.68121667,-85.36629722,12,1,1,2,35,0,0,35
122569,10,27,6,21,29.21111111,-81.04369167,12,3,1,2,30,0,0,98
122570,10,27,6,15,29.16831944,-82.19881111,12,1,1,2,75,1,0,45
122571,10,12,5,10,25.67071944,-80.41645,12,1,1,4,5,1,0,35
122572,9,13,4,10,26.35637778,-80.17055,8,1,1,4,65,0,0,65
122573,10,18,4,16,29.18249722,-82.43918333,12,1,1,2,5,1,1,35
122574,10,21,7,19,29.29526389,-81.13099444,12,2,1,2,55,0,0,55
122575,10,31,3,14,29.00447778,-81.31651111,12,1,1,2,5,1,0,30
122576,10,1,1,21,27.45706944,-81.58669722,32,2,10,1,60,1,0,55
122578,10,25,4,17,30.57553611,-84.69011944,42,1,1,1,70,1,0,70
